Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/12/2019,8:00 PM - 8:59 PM,3,503.72,19
6/12/2019,8:00 PM - 8:59 PM,3,439.78,8
6/12/2019,11:00 PM - 11:59 PM,3,0,0
6/12/2019,11:00 PM - 11:59 PM,3,0,0
6/12/2019,11:00 PM - 11:59 PM,3,0,0
6/12/2019,4:00 PM - 4:59 PM,3,149.14,6
6/12/2019,5:00 PM - 5:59 PM,3,184.32,6
6/12/2019,6:00 PM - 6:59 PM,3,391.5,7
6/12/2019,7:00 PM - 7:59 PM,3,193.22,7
6/12/2019,8:00 PM - 8:59 PM,3,260.39,14
6/12/2019,9:00 PM - 9:59 PM,3,134.14,6
6/12/2019,12:00 AM - 12:59 AM,3,0,1
6/12/2019,7:00 AM - 7:59 AM,3,0.22,0
6/12/2019,9:00 AM - 9:59 AM,3,-39.28,0
6/12/2019,4:00 PM - 4:59 PM,3,21,2
6/12/2019,6:00 PM - 6:59 PM,3,531.9,29
6/12/2019,7:00 PM - 7:59 PM,3,367.38,11
6/12/2019,9:00 PM - 9:59 PM,3,140.45,4
6/12/2019,4:00 PM - 4:59 PM,3,32.27,7
6/12/2019,4:00 PM - 4:59 PM,3,73.48,9
6/12/2019,7:00 AM - 7:59 AM,3,14.98,1
6/12/2019,10:00 AM - 10:59 AM,3,58.49,0
6/12/2019,6:00 PM - 6:59 PM,3,436.85,17
6/12/2019,8:00 PM - 8:59 PM,3,230.97,10
6/12/2019,9:00 PM - 9:59 PM,3,54.06,4
6/13/2019,7:00 AM - 7:59 AM,3,75.93,5
6/13/2019,9:00 AM - 9:59 AM,3,155.14,9
6/13/2019,9:00 AM - 9:59 AM,3,37.06,0
6/13/2019,12:00 PM - 12:59 PM,3,322.97,18
6/13/2019,1:00 PM - 1:59 PM,3,202.38,7
6/13/2019,5:00 PM - 5:59 PM,3,164.21,15
6/13/2019,7:00 PM - 7:59 PM,3,566.93,10
6/13/2019,7:00 AM - 7:59 AM,3,26.94,1
6/13/2019,8:00 AM - 8:59 AM,3,0,0
6/13/2019,8:00 AM - 8:59 AM,3,0,0
6/13/2019,10:00 AM - 10:59 AM,3,17.18,1
6/13/2019,2:00 PM - 2:59 PM,3,77.43,7
6/13/2019,4:00 PM - 4:59 PM,3,71,10
6/13/2019,5:00 PM - 5:59 PM,3,141,12
6/13/2019,6:00 PM - 6:59 PM,3,341.51,34
6/13/2019,7:00 AM - 7:59 AM,3,29.17,3
6/13/2019,11:00 AM - 11:59 AM,3,29.67,1
6/13/2019,12:00 PM - 12:59 PM,3,720.78,30
6/13/2019,2:00 PM - 2:59 PM,3,75.24,5
6/13/2019,4:00 PM - 4:59 PM,3,33.29,4
6/13/2019,4:00 PM - 4:59 PM,3,279.95,13
6/13/2019,5:00 PM - 5:59 PM,3,312.04,11
6/13/2019,6:00 PM - 6:59 PM,3,340.44,7
6/13/2019,6:00 PM - 6:59 PM,3,158.9,16
6/13/2019,7:00 PM - 7:59 PM,3,646.59,25
6/13/2019,8:00 PM - 8:59 PM,3,460.06,24
6/13/2019,10:00 PM - 10:59 PM,3,60.05,0
6/13/2019,11:00 PM - 11:59 PM,3,-48.98,0
6/13/2019,8:00 AM - 8:59 AM,3,29.93,3
6/13/2019,9:00 AM - 9:59 AM,3,27.08,2
6/13/2019,12:00 PM - 12:59 PM,3,315.42,28
6/13/2019,3:00 PM - 3:59 PM,3,-23.98,0
6/13/2019,6:00 PM - 6:59 PM,3,467.34,24
6/13/2019,10:00 PM - 10:59 PM,3,-6,0
6/13/2019,9:00 AM - 9:59 AM,3,22.44,2
6/13/2019,10:00 AM - 10:59 AM,3,113.54,8
6/13/2019,11:00 AM - 11:59 AM,3,225.87,8
6/13/2019,3:00 PM - 3:59 PM,3,26.82,2
6/13/2019,4:00 PM - 4:59 PM,3,34.29,3
6/13/2019,7:00 PM - 7:59 PM,3,285.02,7
6/13/2019,7:00 PM - 7:59 PM,3,589.48,28
6/13/2019,6:00 AM - 6:59 AM,3,0,2
6/13/2019,10:00 AM - 10:59 AM,3,76.94,9
6/13/2019,11:00 AM - 11:59 AM,3,95.62,3
6/13/2019,11:00 AM - 11:59 AM,3,180.63,22
6/13/2019,1:00 PM - 1:59 PM,3,428.06,34
6/13/2019,5:00 PM - 5:59 PM,3,446.31,17
